"","Order","Family","Genus_Species_Accepted","Genus_Accepted","PMkr2.LCVP.moldat.PvAb.Ap24","NEW_Fruit_fleshy_or_dry_rev_checked_Anna","Fruit_color","ID","Binary_Color"
"283","Apiales","Araliaceae","Polyscias_nodosa","Polyscias",1,"fleshy","purple",118570,"non-conspicuous"
"288","Apiales","Araliaceae","Polyscias_ornifolia","Polyscias",1,"fleshy","purple",118649,"non-conspicuous"
"291","Apiales","Araliaceae","Polyscias_pentamera","Polyscias",1,"fleshy","purple",118654,"non-conspicuous"
"294","Apiales","Araliaceae","Polyscias_purpurea","Polyscias",1,"fleshy","white",118576,"non-conspicuous"
"301","Apiales","Araliaceae","Polyscias_tafondroensis","Polyscias",1,"fleshy","purple",118664,"non-conspicuous"
"302","Apiales","Araliaceae","Polyscias_willmottii","Polyscias",1,"fleshy","purple",118585,"non-conspicuous"
"304","Apiales","Araliaceae","Polyscias_zanthoxyloides","Polyscias",1,"fleshy","purple",118672,"non-conspicuous"
"306","Apiales","Araliaceae","Schefflera_actinophylla","Schefflera",1,"fleshy","red",136369,"conspicuous "
"314","Apiales","Araliaceae","Schefflera_angustissima","Schefflera",1,"fleshy","green",46705,"non-conspicuous"
"326","Apiales","Araliaceae","Schefflera_bractescens","Schefflera",1,"fleshy","white",136381,"non-conspicuous"
"330","Apiales","Araliaceae","Schefflera_elliptica","Schefflera",1,"fleshy","orange;red;yellow",136400,"conspicuous "
"334","Apiales","Araliaceae","Schefflera_elliptica","Schefflera",1,"fleshy","red",136534,"conspicuous "
"347","Apiales","Araliaceae","Schefflera_morototoni","Schefflera",1,"fleshy","red;yellow",136441,"conspicuous "
"353","Apiales","Araliaceae","Schefflera_morototoni","Schefflera",1,"fleshy","black",136447,"non-conspicuous"
"362","Apiales","Araliaceae","Schefflera_morototoni","Schefflera",1,"fleshy","black",136548,"non-conspicuous"
"363","Apiales","Araliaceae","Schefflera_morototoni","Schefflera",1,"fleshy","black",136549,"non-conspicuous"
