Order,Family,Genus_Species_Accepted,Genus_Accepted,PMkr2.LCVP.moldat.PvAb.Ap24,NEW_Fruit_fleshy_or_dry_rev_checked_Anna,Fruit_color,ID
Alismatales,Araceae,Monstera_adansonii,Monstera,1,NA,yellow,99281
Alismatales,Araceae,Monstera_adansonii,Monstera,1,NA,black,99282
Alismatales,Araceae,Monstera_adansonii,Monstera,1,NA,black,99283
Alismatales,Araceae,Monstera_adansonii,Monstera,1,NA,black,99284
Alismatales,Araceae,Philodendron_quinquenervium,Philodendron,1,fleshy,YELLOW,112915
Alismatales,Araceae,Philodendron_quinquenervium,Philodendron,1,fleshy,NA,112916
Alismatales,Araceae,Philodendron_quinquenervium,Philodendron,1,fleshy,NA,112934
Apiales,Apiaceae,Mackinlaya_confusa,Mackinlaya,1,fleshy,blue,90113
Apiales,Apiaceae,Mackinlaya_confusa,Mackinlaya,1,NA,NA,90114
Apiales,Apiaceae,Mackinlaya_confusa,Mackinlaya,1,NA,NA,90115
Apiales,Apiaceae,Mackinlaya_confusa,Mackinlaya,1,NA,black,90121
Apiales,Apiaceae,Mackinlaya_macrosciadea,Mackinlaya,1,NA,NA,90116
Apiales,Apiaceae,Mackinlaya_macrosciadea,Mackinlaya,1,NA,NA,90117
Apiales,Apiaceae,Mackinlaya_macrosciadea,Mackinlaya,1,fleshy,blue,90118
Apiales,Apiaceae,Mackinlaya_macrosciadea,Mackinlaya,1,NA,NA,90119
Apiales,Apiaceae,Mackinlaya_macrosciadea,Mackinlaya,1,NA,blue,90122
Apiales,Araliaceae,Aralia_merrillii,Aralia,1,fleshy,purple to blue-black,11268
Apiales,Araliaceae,Cephalaralia_cephalobotrys,Cephalaralia,1,fleshy,NA,29514
Apiales,Araliaceae,Cephalaralia_cephalobotrys,Cephalaralia,1,NA,NA,29515
Apiales,Araliaceae,Cephalaralia_cephalobotrys,Cephalaralia,1,NA,NA,29516
Apiales,Araliaceae,Cephalaralia_cephalobotrys,Cephalaralia,1,NA,NA,29517
Apiales,Araliaceae,Cephalaralia_cephalobotrys,Cephalaralia,1,NA,black,29518
Apiales,Araliaceae,Cussonia_arborea,Cussonia,1,fleshy,NA,42185
Apiales,Araliaceae,Cussonia_arborea,Cussonia,1,NA,NA,42186
Apiales,Araliaceae,Cussonia_arborea,Cussonia,1,NA,NA,42187
Apiales,Araliaceae,Cussonia_arborea,Cussonia,1,NA,NA,42188
Apiales,Araliaceae,Cussonia_arborea,Cussonia,1,NA,NA,42200
Apiales,Araliaceae,Cussonia_arborea,Cussonia,1,NA,green,42201
Apiales,Araliaceae,Cussonia_natalensis,Cussonia,1,NA,NA,42191
Apiales,Araliaceae,Cussonia_natalensis,Cussonia,1,fleshy,NA,42192
Apiales,Araliaceae,Cussonia_natalensis,Cussonia,1,NA,NA,42193
Apiales,Araliaceae,Cussonia_natalensis,Cussonia,1,NA,black,42205
Apiales,Araliaceae,Cussonia_paniculata,Cussonia,1,fleshy,purple,42194
Apiales,Araliaceae,Cussonia_paniculata,Cussonia,1,NA,black,42207
Apiales,Araliaceae,Cussonia_sphaerocephala,Cussonia,1,fleshy,purple,42195
Apiales,Araliaceae,Cussonia_sphaerocephala,Cussonia,1,NA,black,42208
Apiales,Araliaceae,Cussonia_sphaerocephala,Cussonia,1,NA,black,42209
Apiales,Araliaceae,Cussonia_spicata,Cussonia,1,fleshy,NA,42196
Apiales,Araliaceae,Cussonia_spicata,Cussonia,1,NA,NA,42197
Apiales,Araliaceae,Cussonia_spicata,Cussonia,1,NA,NA,42198
Apiales,Araliaceae,Cussonia_spicata,Cussonia,1,NA,pale-brown,42199
Apiales,Araliaceae,Cussonia_spicata,Cussonia,1,NA,black,42210
Apiales,Araliaceae,Cussonia_spicata,Cussonia,1,NA,NA,42211
Apiales,Araliaceae,Cussonia_spicata,Cussonia,1,NA,black,42212
Apiales,Araliaceae,Cussonia_spicata,Cussonia,1,NA,black,42213
Apiales,Araliaceae,Cussonia_spicata,Cussonia,1,NA,yellow,42214
Apiales,Araliaceae,Dendropanax_arboreus,Dendropanax,1,NA,NA,45567
Apiales,Araliaceae,Dendropanax_arboreus,Dendropanax,1,NA,NA,45568
Apiales,Araliaceae,Dendropanax_arboreus,Dendropanax,1,NA,NA,45569
Apiales,Araliaceae,Dendropanax_arboreus,Dendropanax,1,fleshy,black;violet,45570
Apiales,Araliaceae,Dendropanax_arboreus,Dendropanax,1,NA,NA,45571
Apiales,Araliaceae,Dendropanax_arboreus,Dendropanax,1,NA,NA,45572
Apiales,Araliaceae,Dendropanax_arboreus,Dendropanax,1,NA,NA,45573
Apiales,Araliaceae,Dendropanax_arboreus,Dendropanax,1,NA,NA,45574
Apiales,Araliaceae,Dendropanax_arboreus,Dendropanax,1,NA,NA,45575
Apiales,Araliaceae,Dendropanax_arboreus,Dendropanax,1,NA,NA,45576
Apiales,Araliaceae,Dendropanax_arboreus,Dendropanax,1,NA,NA,45599
Apiales,Araliaceae,Dendropanax_arboreus,Dendropanax,1,NA,black,45601
Apiales,Araliaceae,Dendropanax_arboreus,Dendropanax,1,NA,black,45602
Apiales,Araliaceae,Dendropanax_arboreus,Dendropanax,1,NA,NA,45603
Apiales,Araliaceae,Dendropanax_arboreus,Dendropanax,1,NA,black,45604
Apiales,Araliaceae,Dendropanax_arboreus,Dendropanax,1,NA,NA,45617
Apiales,Araliaceae,Dendropanax_cuneatus,Dendropanax,1,fleshy,purple,45580
Apiales,Araliaceae,Dendropanax_cuneatus,Dendropanax,1,NA,Purple-black,45581
Apiales,Araliaceae,Dendropanax_cuneatus,Dendropanax,1,NA,NA,45582
Apiales,Araliaceae,Dendropanax_cuneatus,Dendropanax,1,NA,NA,45583
Apiales,Araliaceae,Dendropanax_cuneatus,Dendropanax,1,NA,NA,45584
Apiales,Araliaceae,Dendropanax_cuneatus,Dendropanax,1,NA,NA,45585
Apiales,Araliaceae,Dendropanax_cuneatus,Dendropanax,1,NA,NA,45586
Apiales,Araliaceae,Dendropanax_cuneatus,Dendropanax,1,NA,NA,45587
Apiales,Araliaceae,Dendropanax_cuneatus,Dendropanax,1,NA,black,45588
Apiales,Araliaceae,Dendropanax_cuneatus,Dendropanax,1,NA,black,45607
Apiales,Araliaceae,Dendropanax_cuneatus,Dendropanax,1,NA,black,45608
Apiales,Araliaceae,Dendropanax_cuneatus,Dendropanax,1,NA,black,45609
Apiales,Araliaceae,Dendropanax_cuneatus,Dendropanax,1,NA,black,45610
Apiales,Araliaceae,Dendropanax_cuneatus,Dendropanax,1,NA,black,45611
Apiales,Araliaceae,Dendropanax_cuneatus,Dendropanax,1,NA,black,45612
Apiales,Araliaceae,Hedera_helix,Hedera,1,NA,NA,71424
Apiales,Araliaceae,Hedera_helix,Hedera,1,NA,NA,71425
Apiales,Araliaceae,Hedera_helix,Hedera,1,fleshy,Black,71426
Apiales,Araliaceae,Hedera_helix,Hedera,1,fleshy,Black,71427
Apiales,Araliaceae,Hedera_helix,Hedera,1,NA,NA,71428
Apiales,Araliaceae,Hedera_helix,Hedera,1,NA,black,71434
Apiales,Araliaceae,Hedera_helix,Hedera,1,NA,NA,71435
Apiales,Araliaceae,Hedera_helix,Hedera,1,NA,NA,71436
Apiales,Araliaceae,Hedera_helix,Hedera,1,NA,NA,71437
Apiales,Araliaceae,Hedera_helix,Hedera,1,NA,NA,71438
Apiales,Araliaceae,Hedera_helix,Hedera,1,NA,black,71439
Apiales,Araliaceae,Hedera_helix,Hedera,1,NA,NA,71440
Apiales,Araliaceae,Hedera_helix,Hedera,1,NA,NA,71441
Apiales,Araliaceae,Hedera_helix,Hedera,1,NA,NA,71442
Apiales,Araliaceae,Hedera_helix,Hedera,1,NA,NA,71443
Apiales,Araliaceae,Hedera_helix,Hedera,1,NA,NA,71444
Apiales,Araliaceae,Hedera_helix,Hedera,1,NA,NA,71445
Apiales,Araliaceae,Hedera_helix,Hedera,1,NA,NA,71446
Apiales,Araliaceae,Hedera_helix,Hedera,1,NA,NA,71447
Apiales,Araliaceae,Hedera_helix,Hedera,1,NA,NA,71448
Apiales,Araliaceae,Hedera_helix,Hedera,1,NA,NA,71449
Apiales,Araliaceae,Hedera_helix,Hedera,1,NA,NA,71450
Apiales,Araliaceae,Hedera_helix,Hedera,1,NA,NA,71451
Apiales,Araliaceae,Hedera_helix,Hedera,1,NA,NA,71452
Apiales,Araliaceae,Hedera_helix,Hedera,1,NA,NA,71453
Apiales,Araliaceae,Hedera_helix,Hedera,1,NA,NA,71454
Apiales,Araliaceae,Hedera_helix,Hedera,1,NA,NA,71455
Apiales,Araliaceae,Hedera_helix,Hedera,1,NA,NA,71456
Apiales,Araliaceae,Hedera_helix,Hedera,1,NA,NA,71457
Apiales,Araliaceae,Hedera_helix,Hedera,1,NA,NA,71458
Apiales,Araliaceae,Hedera_helix,Hedera,1,NA,NA,71459
Apiales,Araliaceae,Hedera_helix,Hedera,1,NA,NA,71460
Apiales,Araliaceae,Hedera_helix,Hedera,1,NA,NA,71461
Apiales,Araliaceae,Hedera_helix,Hedera,1,NA,NA,71462
Apiales,Araliaceae,Hedera_helix,Hedera,1,NA,NA,71463
Apiales,Araliaceae,Hedera_helix,Hedera,1,NA,NA,71464
Apiales,Araliaceae,Motherwellia_haplosciadea,Motherwellia,1,fleshy,NA,99821
Apiales,Araliaceae,Motherwellia_haplosciadea,Motherwellia,1,NA,red,99822
Apiales,Araliaceae,Neocussonia_bojeri,Neocussonia,1,fleshy,purple,136521
Apiales,Araliaceae,Neocussonia_rainaliana,Neocussonia,1,NA,black,136561
Apiales,Araliaceae,Neocussonia_rainaliana,Neocussonia,1,fleshy,purple,136562
Apiales,Araliaceae,Neocussonia_umbellifera,Neocussonia,1,fleshy,NA,136490
Apiales,Araliaceae,Neocussonia_umbellifera,Neocussonia,1,NA,dark red,136491
Apiales,Araliaceae,Neocussonia_umbellifera,Neocussonia,1,NA,NA,136492
Apiales,Araliaceae,Neocussonia_umbellifera,Neocussonia,1,NA,red,136565
Apiales,Araliaceae,Neocussonia_umbellifera,Neocussonia,1,NA,red,136566
Apiales,Araliaceae,Neocussonia_umbellifera,Neocussonia,1,NA,black,136567
Apiales,Araliaceae,Osmoxylon_boerlagei,Osmoxylon,1,fleshy,NA,107017
Apiales,Araliaceae,Osmoxylon_boerlagei,Osmoxylon,1,NA,black,107044
Apiales,Araliaceae,Osmoxylon_geelvinkianum,Osmoxylon,1,fleshy,NA,107023
Apiales,Araliaceae,Osmoxylon_geelvinkianum,Osmoxylon,1,NA,NA,107024
Apiales,Araliaceae,Osmoxylon_geelvinkianum,Osmoxylon,1,NA,black,107049
Apiales,Araliaceae,Osmoxylon_insidiator,Osmoxylon,1,fleshy,NA,107026
Apiales,Araliaceae,Osmoxylon_insidiator,Osmoxylon,1,NA,black,107050
Apiales,Araliaceae,Osmoxylon_novoguineense,Osmoxylon,1,NA,NA,107032
Apiales,Araliaceae,Osmoxylon_novoguineense,Osmoxylon,1,fleshy,NA,107033
Apiales,Araliaceae,Osmoxylon_novoguineense,Osmoxylon,1,fleshy,black;green,107034
Apiales,Araliaceae,Osmoxylon_novoguineense,Osmoxylon,1,NA,NA,107054
Apiales,Araliaceae,Panax_quinquefolius,Panax,1,NA,NA,108419
Apiales,Araliaceae,Panax_quinquefolius,Panax,1,NA,NA,108420
Apiales,Araliaceae,Panax_quinquefolius,Panax,1,fleshy,NA,108421
Apiales,Araliaceae,Panax_quinquefolius,Panax,1,NA,red,108431
Apiales,Araliaceae,Panax_quinquefolius,Panax,1,NA,red,108432
Apiales,Araliaceae,Panax_quinquefolius,Panax,1,NA,red,108433
Apiales,Araliaceae,Polyscias_aculeata,Polyscias,1,NA,NA,42059
Apiales,Araliaceae,Polyscias_aculeata,Polyscias,1,fleshy,purple,118587
Apiales,Araliaceae,Polyscias_amplifolia,Polyscias,1,fleshy,purple,118589
Apiales,Araliaceae,Polyscias_andraerum,Polyscias,1,fleshy,purple,118591
